#lines that start with # are comments 
#values are seperated by commas (,)
#objective for scene
#GTO game type objective (0-Height/distance obj, 1-Land on gameobject name, 2-Pass checkpoints, 3-Grab object and get to designated end point)
GTO,0
#OBJ,Scene title, GET Height (+or-), Land start, Land End
OBJ,A proper house-to the top,175,0,999
#CLD,Cloud Height
CLD,68
#WTH, Weather 0-99 higher number more clouds/rain
WTH,20
#WND, Wind level -4000 to 4000
WND,700
#RAD, RADIOSITy level 0 to 1
RAD,1
#RAB, Background Radiosit leve 0 to 1
RAB,1
#FPS, target fps for the scene
FPS,96
#GRX, gravity scale x
GRX,0
#GRY, gravity scale y
GRY,-9.81
# Prefab,LayerOrder,StartX,EndX,StartY,EndY
ground/gbrick,0,342.12,344.68,60.28,62.84,4,4,0
ground/gbrick,0,342.15,344.71,65.31,67.87,4,4,0
ground/gbrick,0,342.2,344.76,70.36,72.92,4,4,0
ground/gbrick,0,342.25,344.81,75.43,77.99,4,4,0
ground/gbrick,0,342.25,344.81,80.43,82.99,4,4,0
ground/gbrick,0,342.3,344.86,95.71,98.27,4,4,0
ground/gbrick,0,342.35,344.91,100.78,103.34,4,4,0
ground/gbrick,0,342.22,344.78,85.63,88.18999,4,4,0
ground/gbrick,0,342.25,344.81,90.66,93.21999,4,4,0
ground/gbrick,0,342.35,344.91,105.78,108.34,4,4,0
ground/gbrick,0,342.45,345.01,120.82,123.38,4,4,0
ground/gbrick,0,357.45,360.01,142.11,144.67,4,4,0
ground/gbrick,0,352.47,355.03,131.58,134.14,4,4,0
ground/gbrick,0,342.37,344.93,110.74,113.3,4,4,0
ground/gbrick,0,352.52,355.08,136.63,139.19,4,4,0
ground/gbrick,0,357.45,360.01,137.11,139.67,4,4,0
ground/gbrick,0,342.4,344.96,115.77,118.33,4,4,0
ground/gbrick,0,367.37,369.93,147.17,149.73,4,4,0
ground/gbrick,0,367.32,369.88,142.12,144.68,4,4,0
ground/gbrick,0,362.2,364.76,141.97,144.53,4,4,0
ground/gbrick,0,372.3,374.86,147.65,150.21,4,4,0
ground/gbrick,0,372.3,374.86,152.65,155.21,4,4,0
ground/gbrick,0,387.14,389.7,158.09,160.65,4,4,0
ground/gbrick,0,377.04,379.6,152.41,154.97,4,4,0
ground/gbrick,0,387.14,389.7,163.09,165.65,4,4,0
ground/gbrick,0,382.16,384.72,152.56,155.12,4,4,0
ground/gbrick,0,382.21,384.77,157.61,160.17,4,4,0
ground/gbrick,0,401.91,404.47,168.72,171.28,4,4,0
ground/gbrick,0,401.91,404.47,173.72,176.28,4,4,0
ground/gbrick,0,396.98,399.54,168.24,170.8,4,4,0
ground/gbrick,0,396.93,399.49,163.19,165.75,4,4,0
ground/gbrick,0,391.81,394.37,163.04,165.6,4,4,0
ground/gbrick,0,342.5,345.06,125.89,128.45,4,4,0
ground/gbrick,0,347.38,349.94,126.23,128.79,4,4,0
ground/gbrick,0,347.35,349.91,131.43,133.99,4,4,0
ground/gbrick,0,457.6889,460.2548,131.61,134.17,-4.0092,4,0
ground/gbrick,0,452.5573,455.1232,131.76,134.32,-4.0092,4,0
ground/gbrick,0,452.5072,455.0731,136.81,139.37,-4.0092,4,0
ground/gbrick,0,447.566,450.1319,137.29,139.85,-4.0092,4,0
ground/gbrick,0,447.566,450.1319,142.29,144.85,-4.0092,4,0
ground/gbrick,0,457.6588,460.2247,126.41,128.97,-4.0092,4,0
ground/gbrick,0,462.5499,465.1158,126.07,128.63,-4.0092,4,0
ground/gbrick,0,462.6,465.1659,121,123.56,-4.0092,4,0
ground/gbrick,0,432.6823,435.2482,152.83,155.39,-4.0092,4,0
ground/gbrick,0,432.6823,435.2482,147.83,150.39,-4.0092,4,0
ground/gbrick,0,437.6235,440.1894,147.35,149.91,-4.0092,4,0
ground/gbrick,0,437.6736,440.2395,142.3,144.86,-4.0092,4,0
ground/gbrick,0,442.8052,445.3711,142.15,144.71,-4.0092,4,0
ground/gbrick,0,427.9316,430.4975,152.59,155.15,-4.0092,4,0
ground/gbrick,0,422.8,425.3659,152.74,155.3,-4.0092,4,0
ground/gbrick,0,422.7498,425.3157,157.79,160.35,-4.0092,4,0
ground/gbrick,0,417.8087,420.3746,158.27,160.83,-4.0092,4,0
ground/gbrick,0,417.8087,420.3746,163.27,165.83,-4.0092,4,0
ground/gbrick,0,403.0052,405.5711,173.9,176.46,-4.0092,4,0
ground/gbrick,0,403.0052,405.5711,168.9,171.46,-4.0092,4,0
ground/gbrick,0,407.9464,410.5123,168.42,170.98,-4.0092,4,0
ground/gbrick,0,407.9965,410.5624,163.37,165.93,-4.0092,4,0
ground/gbrick,0,413.1281,415.694,163.22,165.78,-4.0092,4,0
ground/gbrick,0,467.27,469.83,60.17,62.73,4,4,0
ground/gbrick,0,467.3,469.86,65.2,67.75999,4,4,0
ground/gbrick,0,467.35,469.91,70.25,72.81,4,4,0
ground/gbrick,0,467.4,469.96,75.32,77.88,4,4,0
ground/gbrick,0,467.4,469.96,80.32,82.88,4,4,0
ground/gbrick,0,467.5,470.06,105.67,108.23,4,4,0
ground/gbrick,0,467.5,470.06,100.67,103.23,4,4,0
ground/gbrick,0,467.45,470.01,95.6,98.16,4,4,0
ground/gbrick,0,467.4,469.96,90.55,93.10999,4,4,0
ground/gbrick,0,467.37,469.93,85.52,88.07999,4,4,0
ground/gbrick,0,467.65,470.21,125.78,128.34,4,4,0
ground/gbrick,0,467.6,470.16,120.71,123.27,4,4,0
ground/gbrick,0,467.55,470.11,115.66,118.22,4,4,0
ground/gbrick,0,467.52,470.08,110.63,113.19,4,4,0
ground/gbrick,0,347.36,349.92,120.61,123.17,4,4,0
ground/gbrick,0,352.23,354.79,120.49,123.05,4,4,0
ground/gbrick,0,357.28,359.84,120.25,122.81,4,4,0
ground/gbrick,0,362.27,364.83,120.25,122.81,4,4,0
ground/gbrick,0,367.08,369.64,120.13,122.69,4,4,0
ground/gbrick,0,372.31,374.87,120.01,122.57,4,4,0
ground/gbrick,0,377.18,379.74,120.01,122.57,4,4,0
ground/gbrick,0,382.17,384.73,119.89,122.45,4,4,0
ground/gbrick,0,386.98,389.54,119.77,122.33,4,4,0
ground/gbrick,0,391.91,394.47,119.59,122.15,4,4,0
